,Global_active_power,hour,day_of_week,month,quarter,is_weekend,is_business_hour,hour_sin,hour_cos,month_sin,month_cos,lag_1h,lag_2h,lag_3h,lag_6h,lag_12h,lag_24h,same_hour_yesterday,same_hour_last_week,roll_mean_6h,roll_std_6h,roll_mean_12h,roll_std_12h,roll_mean_24h,roll_std_24h
month_cos,0.24332694722847847,-0.0012869503228503478,0.0020748048581108623,0.18200079361253985,0.19051486099561177,0.005294974576080256,-0.0025219526338772754,0.001384195938277703,0.0007252688118239944,-0.002691699570204935,1.0,0.24325260728016107,0.24315704068288818,0.2431031935005604,0.2426870998003596,0.24254253074689028,0.24123125639622275,0.24123125639622275,0.22666274975736617,0.3316804720061867,0.23241908473420161,0.4239133400102128,0.36073381158804435,0.5149622522953267,0.45239701011855976
lag_1h,0.7134059916389193,0.3599846026419383,0.07438383650058493,-0.04657514597597723,-0.05273488522652935,0.09467260081777885,0.03674495538750697,-0.24568154276044424,-0.06700222865489668,0.14212214480972882,0.24325260728016107,1.0,0.7135362195490254,0.4659903457874042,0.06583390750089575,0.21388320922945142,0.375365621918498,0.375365621918498,0.39807829053254074,0.6105781030057956,0.45037788006237595,0.4564362665675076,0.3217229051202213,0.40693871151901284,0.36762091860862955
lag_2h,0.4659420848764471,0.30781148567959915,0.07540872837034178,-0.046435149203021525,-0.052617333618024356,0.09367491485460495,0.10459026744763654,-0.2546597091867281,-0.0010248105456868767,0.14210852874332378,0.24315704068288818,0.7135362195490254,1.0,0.713527246782835,0.15182428773515985,0.14627919374187195,0.25855706393249483,0.25855706393249483,0.2777091880732055,0.7579250403608678,0.4972882733190243,0.5291940902115602,0.34048960639604686,0.4368906758372195,0.38529388915463864
lag_3h,0.28710430542833587,0.1814708269799997,0.07115609569084595,-0.04647279461431448,-0.05261149425670313,0.08776996988012781,0.10229050577218689,-0.24624142681945033,0.0649448632367204,0.14235969250782113,0.2431031935005604,0.4659903457874042,0.713527246782835,1.0,0.28715385500729385,0.06706773092851717,0.14512590274287307,0.14512590274287307,0.16028514878089373,0.8293778766870907,0.49620986185090266,0.5757320587955352,0.34535375407908475,0.4552676151073748,0.39275189667395166
lag_6h,0.018052372196948146,-0.08725412397116998,0.050142493613880526,-0.047469248004586365,-0.05338339694851102,0.06734110758376112,-0.05365528401945637,-0.12847400899717581,0.22021490789945838,0.14328246374971942,0.2426870998003596,0.06583390750089575,0.15182428773515985,0.28715385500729385,1.0,0.018079698438075865,-0.020623825464180085,-0.020623825464180085,-0.0226364927034926,0.6106884745816569,0.4176063853599796,0.6383242890913112,0.3865451078006992,0.4810126027015515,0.3989578740080422
lag_12h,0.23853002126633818,-0.06765939216502607,0.00037452555568010676,-0.04915908666964539,-0.055085414447673384,0.030033320899856022,-0.17628524859424932,0.22038823597981932,0.12968937693084515,0.14433008577289275,0.24254253074689028,0.21388320922945142,0.14627919374187195,0.06706773092851717,0.018079698438075865,1.0,0.23889366749598143,0.23889366749598143,0.17777053077182495,0.1029787043527467,0.16193004122951893,0.45659808818481074,0.3878808525630476,0.48827078577838584,0.3919479981608202
lag_24h,0.43485745816968724,0.3308831519465345,0.0077587104779937195,-0.04903570345553366,-0.05472803140695962,0.03798677331811664,0.009066356429216485,-0.22058993719941686,-0.12885105754170337,0.14529943254352035,0.24123125639622275,0.375365621918498,0.25855706393249483,0.14512590274287307,-0.020623825464180085,0.23889366749598143,1.0,1.0,0.39599957019799814,0.1882833959448152,0.1293828054973954,0.21190798597086669,0.1307140010267914,0.40640719235592676,0.33719095497450163
same_hour_yesterday,0.43485745816968724,0.3308831519465345,0.0077587104779937195,-0.04903570345553366,-0.05472803140695962,0.03798677331811664,0.009066356429216485,-0.22058993719941686,-0.12885105754170337,0.14529943254352035,0.24123125639622275,0.375365621918498,0.25855706393249483,0.14512590274287307,-0.020623825464180085,0.23889366749598143,1.0,1.0,0.39599957019799814,0.1882833959448152,0.1293828054973954,0.21190798597086669,0.1307140010267914,0.40640719235592676,0.33719095497450163
same_hour_last_week,0.45853469028401017,0.3304667483988663,0.07634301024262759,-0.08147524393581886,-0.07889837248165969,0.09784047103653279,-0.024454782953413353,-0.22112289082919526,-0.12827622867243912,0.1659821321608842,0.22666274975736617,0.39807829053254074,0.2777091880732055,0.16028514878089373,-0.0226364927034926,0.17777053077182495,0.39599957019799814,0.39599957019799814,1.0,0.20525118626879474,0.13205999937560045,0.19306935053503807,0.10669915819797346,0.23905952601372654,0.19661888319470258
roll_mean_6h,0.38708781189686,0.1736294801947702,0.09025655304782355,-0.06388457179039449,-0.07213738915421523,0.11388411626217705,0.05726168748785726,-0.2905261717501754,0.11900500516903806,0.1945994171454745,0.3316804720061867,0.6105781030057956,0.7579250403608678,0.8293778766870907,0.6106884745816569,0.1029787043527467,0.1882833959448152,0.1882833959448152,0.20525118626879474,1.0,0.6404870706947824,0.7815508218389323,0.4819312394809324,0.6196404978400786,0.5323281487784237
roll_std_6h,0.24174137002143303,0.020645377112455482,0.005141318224320121,-0.0300126115359983,-0.037129708148809865,0.011022129087550488,-0.01357743257121017,-0.09331484159861886,0.18156401146665502,0.1145682912098699,0.23241908473420161,0.45037788006237595,0.4972882733190243,0.49620986185090266,0.4176063853599796,0.16193004122951893,0.1293828054973954,0.1293828054973954,0.13205999937560045,0.6404870706947824,1.0,0.49825908974548194,0.6036116453368339,0.40907720820612625,0.5047237036492898
roll_mean_12h,0.3454774248515901,0.06180718225170794,0.07674175530140648,-0.08299817657769554,-0.09348351565284888,0.11343488614971439,-0.16220411806175516,-0.10985894180734612,0.26286793955218213,0.2500318047296638,0.4239133400102128,0.4564362665675076,0.5291940902115602,0.5757320587955352,0.6383242890913112,0.45659808818481074,0.21190798597086669,0.21190798597086669,0.19306935053503807,0.7815508218389323,0.49825908974548194,1.0,0.6683270321384753,0.8214260039955187,0.6861140070701047
roll_std_12h,0.2416117315186132,-0.11990246155404974,-0.0032462389860008272,-0.03995083676011254,-0.0512484182729122,0.013414774004446768,-0.09255839781126311,0.13748578589700286,0.11739645355604916,0.17091643338117657,0.36073381158804435,0.3217229051202213,0.34048960639604686,0.34535375407908475,0.3865451078006992,0.3878808525630476,0.1307140010267914,0.1307140010267914,0.10669915819797346,0.4819312394809324,0.6036116453368339,0.6683270321384753,1.0,0.6255610005429327,0.7936723343718662
roll_mean_24h,0.35674368598238115,-0.0006869572850581764,0.06817915677585082,-0.10342991347766885,-0.11564770726967794,0.11845852194685971,-0.028465232511350944,0.0011269823253734583,0.0001534475794670861,0.30662508795902543,0.5149622522953267,0.40693871151901284,0.4368906758372195,0.4552676151073748,0.4810126027015515,0.48827078577838584,0.40640719235592676,0.40640719235592676,0.23905952601372654,0.6196404978400786,0.40907720820612625,0.8214260039955187,0.6255610005429327,1.0,0.8163314508154071
roll_std_24h,0.32044447581288354,0.0046041305709305785,0.00931614591417244,-0.05510592984561855,-0.06787029176160109,0.05720602751972907,-0.01685237872109627,-0.0065856234840024975,0.008123291312285048,0.22185709058927106,0.45239701011855976,0.36762091860862955,0.38529388915463864,0.39275189667395166,0.3989578740080422,0.3919479981608202,0.33719095497450163,0.33719095497450163,0.19661888319470258,0.5323281487784237,0.5047237036492898,0.6861140070701047,0.7936723343718662,0.8163314508154071,1.0
